ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
0,0.83,Very Good,H,VS2,G,EX,GIA,3276
1,1.09,Very Good,F,VVS1,VG,VG,GIA,10463
2,2.08,Ideal,E,SI1,EX,EX,GIA,23085
3,1,Very Good,H,VS1,VG,G,GIA,5625
4,2.02,Very Good,I,VS2,VG,VG,GIA,15895
5,1.54,Ideal,I,SI1,EX,EX,GIA,9942
6,1.14,Ideal,G,VS1,EX,EX,GIA,8346
7,1.52,Very Good,F,SI1,G,VG,GIA,11794
8,2.12,Ideal,E,VS1,EX,EX,GIA,31248
9,0.92,Ideal,D,SI1,EX,EX,GIA,4696
10,1.52,Very Good,E,SI1,EX,EX,GIA,12275
11,0.9,Very Good,G,SI1,VG,VG,GIA,3919
12,1.06,Very Good,G,VS2,VG,G,GIA,6217
13,0.89,Very Good,G,IF,VG,EX,GIA,5085
14,1.52,Ideal,I,IF,EX,EX,GIA,12847
15,1.01,Very Good,I,SI1,VG,VG,GIA,4207
16,1.15,Ideal,H,SI1,EX,EX,GIA,6106
17,1.01,Ideal,G,VS2,ID,ID,AGSL,6439
18,1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685
19,2.07,Very Good,H,SI1,EX,EX,GIA,17608
20,1.02,Fair,H,SI1,VG,VG,GIA,4771
21,1.56,Ideal,I,VS2,ID,ID,AGSL,10333
22,1.54,Ideal,G,VS1,VG,VG,GIA,13604
23,1.06,Ideal,G,VVS2,ID,ID,AGSL,7934
24,1,Good,G,VVS2,VG,VG,GIA,6971
25,2.01,Ideal,F,VS2,VG,VG,GIA,29386
26,2.03,Very Good,I,SI1,EX,EX,GIA,16693
27,2.02,Very Good,I,VS2,G,G,GIA,15759
28,1.28,Ideal,F,VS1,EX,EX,GIA,12061
29,1.08,Ideal,F,VS2,EX,EX,GIA,7625
30,1.06,Ideal,H,SI1,VG,VG,GIA,5020
31,1.01,Ideal,E,VVS2,VG,VG,GIA,10503
32,1.06,Ideal,G,VS2,VG,VG,GIA,6597
33,1,Good,G,SI1,VG,G,GIA,4859
34,1.09,Ideal,G,VS1,EX,EX,GIA,7992
35,2.01,Ideal,G,VS1,ID,ID,AGSL,26026
36,1.07,Very Good,I,VS2,G,VG,GIA,4873
37,1.01,Ideal,F,VS1,ID,ID,AGSL,7539
38,1.51,Very Good,F,SI1,VG,G,GIA,11190
39,1.06,Ideal,D,SI1,EX,VG,GIA,6062
40,2.01,Very Good,E,SI1,EX,VG,GIA,21741
41,0.9,Very Good,E,SI1,VG,VG,GIA,4324
42,0.91,Very Good,E,SI1,EX,EX,GIA,4250
43,2.2,Ideal,F,IF,EX,EX,GIA,48845
44,1,Very Good,D,VS2,EX,EX,GIA,7361
45,1.01,Very Good,H,SI1,VG,EX,GIA,4811
46,0.76,Very Good,E,VVS2,VG,VG,GIA,3891
47,2.01,Good,D,SI1,VG,VG,GIA,20340
48,1.08,Good,E,SI1,VG,VG,GIA,5575
49,1.03,Ideal,F,VS1,VG,VG,GIA,7964
50,1.1,Very Good,I,VS2,VG,VG,GIA,5524
51,1.11,Ideal,I,SI1,EX,EX,GIA,5329
52,2.12,Ideal,E,VS2,VG,VG,GIA,30687
53,2.21,Ideal,G,VS2,VG,VG,GIA,27586
54,1.2,Very Good,I,SI1,EX,EX,GIA,5955
55,1.51,Very Good,F,VS2,VG,VG,GIA,13012
56,1.5,Very Good,G,VVS2,EX,G,GIA,12798
57,2.01,Good,G,SI1,VG,G,GIA,20739
58,1.2,Ideal,H,VS1,VG,VG,GIA,7473
59,0.9,Very Good,H,SI1,VG,VG,GIA,3643
60,0.9,Very Good,F,SI1,EX,VG,GIA,3679
61,1.05,Ideal,I,SI1,ID,ID,AGSL,4679
62,1.6,Very Good,I,VS2,VG,VG,GIA,10497
63,0.9,Ideal,E,SI1,VG,VG,GIA,4471
64,2.01,Very Good,H,VS2,VG,VG,GIA,19046
65,0.9,Fair,E,SI1,VG,VG,GIA,3743
66,1.05,Signature-Ideal,F,VS1,ID,ID,AGSL,9330
67,1.2,Ideal,G,VS1,EX,EX,GIA,9625
68,2,Very Good,G,VS2,VG,EX,GIA,21978
69,0.9,Very Good,D,VS2,VG,EX,GIA,4981
70,1.02,Very Good,I,SI1,VG,VG,GIA,4102
71,1.02,Very Good,H,VS1,VG,G,GIA,5598
72,0.92,Good,I,VS2,G,G,GIA,3785
73,0.9,Good,E,VS2,VG,VG,GIA,4182
74,1,Good,E,VS2,G,G,GIA,6958
75,1.78,Very Good,D,VS2,VG,G,GIA,16697
76,0.9,Ideal,I,SI1,VG,VG,GIA,3455
77,1.03,Very Good,G,SI1,VG,VG,GIA,5491
78,1.02,Very Good,F,VS1,VG,EX,GIA,7010
79,2.04,Very Good,G,VVS2,VG,VG,GIA,27499
80,1.26,Very Good,F,VS2,EX,VG,GIA,9767
81,1.01,Very Good,G,VS2,G,VG,GIA,5696
82,1.25,Very Good,G,VVS2,EX,VG,GIA,9587
83,1.54,Ideal,E,VS1,EX,VG,GIA,17934
84,1.25,Signature-Ideal,E,VS1,ID,ID,AGSL,12869
85,1.01,Very Good,D,SI1,VG,VG,GIA,5731
86,2.53,Ideal,E,SI1,VG,EX,GIA,28608
87,1.51,Very Good,I,VS2,VG,VG,GIA,9058
88,1.01,Ideal,G,SI1,VG,VG,GIA,5049
89,1.2,Ideal,F,VVS1,EX,EX,GIA,11840
90,0.9,Ideal,H,VVS2,EX,VG,GIA,4770
91,1.59,Signature-Ideal,G,VS1,EX,EX,GIA,16774
92,1.28,Ideal,G,IF,EX,EX,GIA,13360
93,1.24,Very Good,I,VS1,VG,VG,AGSL,6104
94,0.91,Very Good,E,SI1,VG,EX,GIA,4284
95,1.16,Ideal,E,SI1,EX,EX,GIA,7059
96,1.09,Ideal,I,VS2,EX,EX,GIA,5421
97,1.72,Ideal,E,VS2,VG,EX,GIA,19920
