ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,AutoETS,AutoETS-lo-90,AutoETS-hi-90
2024-04-01,41047440.0,40975292.0,41119584.0,41034064.0,40958730.0,41109396.0
2024-07-01,41391092.0,41265148.0,41517036.0,41298230.0,41180610.0,41415860.0
2024-10-01,41726428.0,41555160.0,41897692.0,41562404.0,41404500.0,41720308.0
2025-01-01,42031148.0,41806660.0,42255636.0,41826576.0,41628030.0,42025120.0
2025-04-01,42335964.0,42045510.0,42626420.0,42090748.0,41850444.0,42331052.0
2025-07-01,42654516.0,42291708.0,43017324.0,42354920.0,42071440.0,42638396.0
2025-10-01,42974652.0,42536730.0,43412576.0,42619092.0,42290892.0,42947290.0
2026-01-01,43288820.0,42771604.0,43806040.0,42883264.0,42508748.0,43257776.0
2026-04-01,43601572.0,42999720.0,44203424.0,43147430.0,42725004.0,43569864.0
2026-07-01,43916828.0,43225740.0,44607916.0,43411604.0,42939664.0,43883544.0
2026-10-01,44233016.0,43448950.0,45017080.0,43675776.0,43152756.0,44198796.0
2027-01-01,44548196.0,43667464.0,45428924.0,43939948.0,43364304.0,44515590.0
2027-04-01,44862830.0,43881620.0,45844050.0,44204120.0,43574336.0,44833900.0
2027-07-01,45177860.0,44092496.0,46263228.0,44468292.0,43782884.0,45153696.0
2027-10-01,45493176.0,44300230.0,46686120.0,44732460.0,43989980.0,45474944.0
2028-01-01,45808350.0,44504520.0,47112184.0,44996630.0,44195650.0,45797620.0
2028-04-01,46123384.0,44705404.0,47541360.0,45260804.0,44399920.0,46121690.0
2028-07-01,46438460.0,44903160.0,47973760.0,45524976.0,44602824.0,46447130.0
2028-10-01,46753604.0,45097908.0,48409304.0,45789148.0,44804388.0,46773908.0
2029-01-01,47068740.0,45289656.0,48847824.0,46053320.0,45004630.0,47102004.0
2029-04-01,47383840.0,45478444.0,49289236.0,46317492.0,45203588.0,47431390.0
2029-07-01,47698944.0,45664372.0,49733516.0,46581660.0,45401270.0,47762052.0
2029-10-01,48014060.0,45847516.0,50180610.0,46845830.0,45597710.0,48093956.0
2030-01-01,48329180.0,46027920.0,50630440.0,47110004.0,45792924.0,48427084.0
2030-04-01,48644292.0,46205640.0,51082948.0,47374176.0,45986932.0,48761420.0
2030-07-01,48959404.0,46380720.0,51538090.0,47638348.0,46179756.0,49096940.0
2030-10-01,49274516.0,46553220.0,51995812.0,47902520.0,46371412.0,49433628.0
2031-01-01,49589630.0,46723184.0,52456080.0,48166692.0,46561916.0,49771464.0
2031-04-01,49904744.0,46890656.0,52918836.0,48430860.0,46751292.0,50110430.0
2031-07-01,50219860.0,47055670.0,53384044.0,48695030.0,46939550.0,50450516.0
2031-10-01,50534972.0,47218276.0,53851668.0,48959204.0,47126708.0,50791700.0
2032-01-01,50850084.0,47378504.0,54321668.0,49223376.0,47312780.0,51133972.0
2032-04-01,51165200.0,47536390.0,54794010.0,49487548.0,47497784.0,51477310.0
2032-07-01,51480310.0,47691976.0,55268652.0,49751720.0,47681730.0,51821708.0
2032-10-01,51795424.0,47845290.0,55745564.0,50015892.0,47864630.0,52167148.0
2033-01-01,52110540.0,47996356.0,56224720.0,50280060.0,48046504.0,52513616.0
2033-04-01,52425652.0,48145216.0,56706090.0,50544230.0,48227360.0,52861104.0
2033-07-01,52740770.0,48291896.0,57189636.0,50808404.0,48407212.0,53209600.0
2033-10-01,53055880.0,48436424.0,57675336.0,51072576.0,48586064.0,53559084.0
2034-01-01,53370990.0,48578820.0,58163164.0,51336748.0,48763940.0,53909556.0
2034-04-01,53686108.0,48719120.0,58653096.0,51600920.0,48940840.0,54260996.0
2034-07-01,54001220.0,48857344.0,59145100.0,51865092.0,49116780.0,54613400.0
2034-10-01,54316332.0,48993510.0,59639156.0,52129260.0,49291772.0,54966750.0
2035-01-01,54631450.0,49127656.0,60135240.0,52393430.0,49465820.0,55321050.0
2035-04-01,54946560.0,49259790.0,60633330.0,52657604.0,49638936.0,55676270.0
2035-07-01,55261676.0,49389944.0,61133404.0,52921776.0,49811132.0,56032420.0
2035-10-01,55576788.0,49518136.0,61635440.0,53185948.0,49982416.0,56389480.0
2036-01-01,55891900.0,49644380.0,62139420.0,53450120.0,50152790.0,56747444.0
2036-04-01,56207016.0,49768704.0,62645324.0,53714290.0,50322276.0,57106304.0
2036-07-01,56522130.0,49891124.0,63153132.0,53978460.0,50490870.0,57466052.0
2036-10-01,56837240.0,50011660.0,63662824.0,54242630.0,50658588.0,57826676.0
2037-01-01,57152356.0,50130330.0,64174380.0,54506804.0,50825430.0,58188176.0
2037-04-01,57467468.0,50247148.0,64687788.0,54770976.0,50991416.0,58550536.0
2037-07-01,57782584.0,50362136.0,65203028.0,55035148.0,51156540.0,58913750.0
2037-10-01,58097696.0,50475308.0,65720084.0,55299320.0,51320820.0,59277820.0
2038-01-01,58412810.0,50586680.0,66238940.0,55563490.0,51484256.0,59642724.0
2038-04-01,58727924.0,50696268.0,66759580.0,55827660.0,51646856.0,60008468.0
2038-07-01,59043036.0,50804090.0,67281980.0,56091830.0,51808628.0,60375036.0
2038-10-01,59358148.0,50910156.0,67806140.0,56356004.0,51969580.0,60742428.0
2039-01-01,59673264.0,51014480.0,68332050.0,56620176.0,52129716.0,61110636.0
2039-04-01,59988376.0,51117084.0,68859670.0,56884348.0,52289044.0,61479650.0
2039-07-01,60303492.0,51217976.0,69389000.0,57148520.0,52447572.0,61849464.0
2039-10-01,60618604.0,51317172.0,69920030.0,57412690.0,52605300.0,62220080.0
2040-01-01,60933716.0,51414684.0,70452750.0,57676860.0,52762240.0,62591484.0
2040-04-01,61248830.0,51510524.0,70987140.0,57941030.0,52918396.0,62963670.0
2040-07-01,61563944.0,51604708.0,71523180.0,58205204.0,53073770.0,63336640.0
2040-10-01,61879056.0,51697244.0,72060870.0,58469376.0,53228372.0,63710380.0
