Date,Actual GDP,Actual Population,GDP Forecast,Population Forecast,Actual GDP per capita,GDP per capita Forecast
1946-01-01,,12188000.0,,,,
1946-04-01,,12241000.0,,,,
1946-07-01,,12316000.0,,,,
1946-10-01,,12393000.0,,,,
1947-01-01,,12450000.0,,,,
1947-04-01,,12507000.0,,,,
1947-07-01,,12576000.0,,,,
1947-10-01,,12646000.0,,,,
1948-01-01,,12710000.0,,,,
1948-04-01,,12773000.0,,,,
1948-07-01,,12852000.0,,,,
1948-10-01,,12930000.0,,,,
1949-01-01,,12998000.0,,,,
1949-04-01,,13399000.0,,,,
1949-07-01,,13475000.0,,,,
1949-10-01,,13548000.0,,,,
1950-01-01,,13607000.0,,,,
1950-04-01,,13663000.0,,,,
1950-07-01,,13737000.0,,,,
1950-10-01,,13807000.0,,,,
1951-01-01,,13870000.0,,,,
1951-04-01,,13937000.0,,,,
1951-07-01,,14050000.0,,,,
1951-10-01,,14163000.0,,,,
1952-01-01,,14277000.0,,,,
1952-04-01,,14376000.0,,,,
1952-07-01,,14496000.0,,,,
1952-10-01,,14598000.0,,,,
1953-01-01,,14682000.0,,,,
1953-04-01,,14763000.0,,,,
1953-07-01,,14886000.0,,,,
1953-10-01,,15001000.0,,,,
1954-01-01,,15105000.0,,,,
1954-04-01,,15199000.0,,,,
1954-07-01,,15330000.0,,,,
1954-10-01,,15444000.0,,,,
1955-01-01,,15535000.0,,,,
1955-04-01,,15620000.0,,,,
1955-07-01,,15736000.0,,,,
1955-10-01,,15834000.0,,,,
1956-01-01,,15919000.0,,,,
1956-04-01,,16004000.0,,,,
1956-07-01,,16123000.0,,,,
1956-10-01,,16235000.0,,,,
1957-01-01,,16352000.0,,,,
1957-04-01,,16479000.0,,,,
1957-07-01,,16677000.0,,,,
1957-10-01,,16810000.0,,,,
1958-01-01,,16907000.0,,,,
1958-04-01,,16997000.0,,,,
1958-07-01,,17120000.0,,,,
1958-10-01,,17225000.0,,,,
1959-01-01,,17318000.0,,,,
1959-04-01,,17406000.0,,,,
1959-07-01,,17522000.0,,,,
1959-10-01,,17624000.0,,,,
1960-01-01,,17710000.0,,,,
1960-04-01,,17793000.0,,,,
1960-07-01,,17909000.0,,,,
1960-10-01,,18009000.0,,,,
1961-01-01,40600.0,18092000.0,,,2244.0857837718327,
1961-04-01,41496.0,18172000.0,,,2283.513097072419,
1961-07-01,42604.0,18271000.0,,,2331.78260631602,
1961-10-01,43404.0,18363000.0,,,2363.666067636007,
1962-01-01,44624.0,18442000.0,,,2419.694176336623,
1962-04-01,45132.0,18519000.0,,,2437.0646363194555,
1962-07-01,46068.0,18614000.0,,,2474.911357043086,
1962-10-01,47132.0,18708000.0,,,2519.3500106906135,
1963-01-01,47584.0,18787000.0,,,2532.815244584021,
1963-04-01,48556.0,18864000.0,,,2574.003392705683,
1963-07-01,49352.0,18964000.0,,,2602.4045560008435,
1963-10-01,51360.0,19061000.0,,,2694.5071087560987,
1964-01-01,52576.0,19142000.0,,,2746.6304461393793,
1964-04-01,53420.0,19222000.0,,,2779.10727291645,
1964-07-01,54580.0,19325000.0,,,2824.3208279430787,
