Read Date,Read Description,Days,Previous Read,Current Read,Usage,Avg/Day,Units,
01-Apr-24,COMP EST,31,26162,26466,304,9.81,kWh,
01-Mar-24,METER READ,29,25735,26162,427,14.72,kWh,
01-Feb-24,METER READ,31,25131,25735,604,19.48,kWh,
01-Jan-24,METER READ,31,24720,25131,411,13.26,kWh,
01-Dec-23,METER READ,30,24332,24720,388,12.93,kWh,
01-Nov-23,METER READ,31,24022,24332,309.4,9.98,kWh,
01-Oct-23,METER READ,30,23714,24022,308.3,10.28,kWh,
01-Sep-23,METER READ,31,23355,23714,358.9,11.58,kWh,
01-Aug-23,METER READ,31,22970,23355,385.3,12.43,kWh,
01-Jul-23,METER READ,30,22659,22970,310.2,10.34,kWh,
01-Jun-23,METER READ,31,22398,22659,261.4,8.43,kWh,
01-May-23,METER READ,30,22147,22398,250.9,8.36,kWh,
01-Apr-23,METER READ,31,21800,22147,347.2,11.2,kWh,
01-Mar-23,METER READ,28,21474,21800,326.4,11.66,kWh,
01-Feb-23,METER READ,31,21084,21474,389.2,12.56,kWh,
01-Dec-22,METER READ,30,20427,20728,301.2,10.04,kWh,
01-Nov-22,METER READ,31,20193,20427,233.6,7.53,kWh,
01-Oct-22,METER READ,30,19823,20193,370.3,12.34,kWh,
01-Sep-22,METER READ,31,19461,19823,361.6,11.67,kWh,
01-Aug-22,METER READ,31,19256,19461,204.9,6.61,kWh,
01-Jul-22,METER READ,30,18892,19256,364.6,12.15,kWh,
