Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Label
-79.47,43.78,TORONTO NORTH YORK,615S001,01-01-2022,2022,1,1,4.00,1.00,2.50,15.50,0.00,0.00,3.00,3.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,02-01-2022,2022,1,2,-6.00,-8.00,-7.00,25.00,0.00,0.00,1.00,1.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,03-01-2022,2022,1,3,-4.00,-16.50,-10.25,28.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,04-01-2022,2022,1,4,4.00,-10.00,-3.00,21.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,05-01-2022,2022,1,5,3.50,-3.50,0.00,18.00,0.00,1.20,0.00,1.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,06-01-2022,2022,1,6,-3.00,-7.50,-5.25,23.30,0.00,0.00,0.20,0.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,07-01-2022,2022,1,7,-7.00,-13.00,-10.00,28.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,08-01-2022,2022,1,8,2.50,-16.00,-6.75,24.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,09-01-2022,2022,1,9,3.50,-4.50,-0.50,18.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,10-01-2022,2022,1,10,-9.00,-10.00,-9.50,27.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,11-01-2022,2022,1,11,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,12-01-2022,2022,1,12,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,13-01-2022,2022,1,13,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,14-01-2022,2022,1,14,-7.50,-12.50,-10.00,28.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,15-01-2022,2022,1,15,-12.50,-22.00,-17.25,35.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,16-01-2022,2022,1,16,-3.00,-18.50,-10.75,28.80,0.00,0.00,31.00,31.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,17-01-2022,2022,1,17,-3.50,-6.00,-4.75,22.80,0.00,0.00,14.40,14.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,18-01-2022,2022,1,18,3.00,-12.00,-4.50,22.50,0.00,0.00,1.20,1.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,19-01-2022,2022,1,19,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,20-01-2022,2022,1,20,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,21-01-2022,2022,1,21,-8.00,-26.00,-17.00,35.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,22-01-2022,2022,1,22,-4.50,-21.50,-13.00,31.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,23-01-2022,2022,1,23,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,24-01-2022,2022,1,24,14.67,3.93,9.30,9.78,1.09,1.55,0.35,1.91,1
-79.47,43.78,TORONTO NORTH YORK,615S001,25-01-2022,2022,1,25,-7.00,-12.00,-9.50,27.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,26-01-2022,2022,1,26,-8.00,-19.50,-13.75,31.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,27-01-2022,2022,1,27,-4.00,-16.50,-10.25,28.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,28-01-2022,2022,1,28,-11.00,-18.50,-14.75,32.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,29-01-2022,2022,1,29,-10.00,-22.00,-16.00,34.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,30-01-2022,2022,1,30,-4.50,-20.50,-12.50,30.50,0.00,0.00,0.00,0.00,0
