Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
0,45,admin.,single,secondary,no,0,yes,no,cellular,8,may,38,1,-1,0,unknown,no
1,30,admin.,married,tertiary,no,631,no,no,cellular,13,aug,293,3,-1,0,unknown,no
2,56,retired,married,primary,no,152,yes,yes,cellular,30,jul,65,7,-1,0,unknown,no
3,57,management,divorced,unknown,no,2986,no,no,unknown,1,jun,1563,1,166,3,success,no
4,42,technician,married,secondary,no,166,no,no,cellular,16,jul,319,5,-1,0,unknown,no
5,57,admin.,married,secondary,no,407,yes,yes,cellular,15,may,166,3,-1,0,unknown,no
6,35,admin.,married,secondary,no,-112,no,no,cellular,29,jul,394,4,-1,0,unknown,no
7,47,management,married,tertiary,no,999,no,no,cellular,16,nov,111,1,94,1,other,no
8,44,services,divorced,secondary,no,20,no,no,unknown,9,jun,98,1,-1,0,unknown,no
9,54,entrepreneur,married,tertiary,no,345,no,no,cellular,14,aug,183,6,-1,0,unknown,no
10,34,technician,married,tertiary,no,1524,yes,no,cellular,16,apr,399,1,-1,0,unknown,no
11,43,blue-collar,married,primary,no,50,no,no,unknown,28,may,90,8,-1,0,unknown,no
12,29,management,married,tertiary,no,30,no,no,cellular,13,aug,83,1,105,1,failure,no
13,42,technician,married,secondary,no,1812,yes,no,cellular,31,jul,84,2,-1,0,unknown,no
14,42,housemaid,married,primary,no,1343,yes,no,unknown,24,jun,404,3,-1,0,unknown,no
15,39,unemployed,married,secondary,no,0,yes,no,unknown,20,may,191,1,-1,0,unknown,no
16,43,management,single,secondary,no,465,no,no,cellular,28,aug,78,12,-1,0,unknown,no
17,32,management,married,tertiary,no,2431,no,no,cellular,28,aug,19,19,-1,0,unknown,no
18,57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no
19,46,management,married,tertiary,no,144,no,no,cellular,22,aug,79,4,-1,0,unknown,no
20,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
21,42,services,divorced,secondary,no,55,yes,no,unknown,6,may,176,5,-1,0,unknown,no
22,29,blue-collar,married,primary,no,608,yes,no,unknown,9,may,184,2,-1,0,unknown,no
23,35,management,single,tertiary,no,2015,no,no,cellular,15,jun,60,1,390,1,failure,no
24,32,admin.,married,secondary,no,752,yes,no,cellular,21,nov,82,4,191,1,failure,no
25,30,blue-collar,married,primary,no,2,yes,yes,cellular,13,may,7,6,-1,0,unknown,no
26,30,management,married,tertiary,no,3,yes,no,cellular,22,jul,67,9,-1,0,unknown,no
27,47,blue-collar,married,secondary,no,737,no,yes,cellular,31,jul,120,3,-1,0,unknown,no
28,36,services,single,secondary,no,328,yes,no,cellular,13,may,194,3,-1,0,unknown,no
29,54,technician,married,secondary,no,-258,yes,no,cellular,5,may,65,3,342,1,other,no
30,47,blue-collar,married,primary,no,146,yes,yes,unknown,19,may,53,5,-1,0,unknown,no
31,48,blue-collar,married,secondary,no,264,no,no,cellular,6,feb,439,2,-1,0,unknown,no
