"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12188000","","","","0"
"1946-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12241000","","","","0"
"1946-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12316000","","","","0"
"1946-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12393000","","","","0"
"1947-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12450000","","","","0"
"1947-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12507000","","","","0"
"1947-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12576000","","","","0"
"1947-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12646000","","","","0"
"1948-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12710000","","","","0"
"1948-04","Canada","2016A000011124","Persons","249","units","0","v1","1","12773000","","","","0"
"1948-07","Canada","2016A000011124","Persons","249","units","0","v1","1","12852000","","","","0"
"1948-10","Canada","2016A000011124","Persons","249","units","0","v1","1","12930000","","","","0"
"1949-01","Canada","2016A000011124","Persons","249","units","0","v1","1","12998000","","","","0"
"1949-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13399000","","","","0"
"1949-07","Canada","2016A000011124","Persons","249","units","0","v1","1","13475000","","","","0"
"1949-10","Canada","2016A000011124","Persons","249","units","0","v1","1","13548000","","","","0"
"1950-01","Canada","2016A000011124","Persons","249","units","0","v1","1","13607000","","","","0"
"1950-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13663000","","","","0"
"1950-07","Canada","2016A000011124","Persons","249","units","0","v1","1","13737000","","","","0"
"1950-10","Canada","2016A000011124","Persons","249","units","0","v1","1","13807000","","","","0"
"1951-01","Canada","2016A000011124","Persons","249","units","0","v1","1","13870000","","","","0"
"1951-04","Canada","2016A000011124","Persons","249","units","0","v1","1","13937000","","","","0"
"1951-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14050000","","","","0"
"1951-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","362000","","","","0"
"1951-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1951-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","643000","","","","0"
"1951-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","517000","","","","0"
"1951-07","Quebec","2016A000224","Persons","249","units","0","v11","6","4066000","","","","0"
"1951-07","Ontario","2016A000235","Persons","249","units","0","v12","7","4615000","","","","0"
"1951-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","778000","","","","0"
"1951-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","834000","","","","0"
"1951-07","Alberta","2016A000248","Persons","249","units","0","v15","10","943000","","","","0"
"1951-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","1168000","","","","0"
"1951-07","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1951-07","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1951-10","Canada","2016A000011124","Persons","249","units","0","v1","1","14163000","","","","0"
"1951-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","365000","","","","0"
"1951-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","99000","","","","0"
"1951-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","646000","","","","0"
"1951-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","519000","","","","0"
"1951-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4095000","","","","0"
"1951-10","Ontario","2016A000235","Persons","249","units","0","v12","7","4665000","","","","0"
"1951-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","784000","","","","0"
"1951-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","836000","","","","0"
"1951-10","Alberta","2016A000248","Persons","249","units","0","v15","10","950000","","","","0"
"1951-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1179000","","","","0"
"1951-10","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1951-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1952-01","Canada","2016A000011124","Persons","249","units","0","v1","1","14277000","","","","0"
"1952-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","368000","","","","0"
"1952-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1952-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","647000","","","","0"
"1952-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","521000","","","","0"
"1952-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4126000","","","","0"
"1952-01","Ontario","2016A000235","Persons","249","units","0","v12","7","4717000","","","","0"
"1952-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","789000","","","","0"
"1952-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","836000","","","","0"
"1952-01","Alberta","2016A000248","Persons","249","units","0","v15","10","959000","","","","0"
"1952-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","1189000","","","","0"
"1952-01","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1952-01","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1952-04","Canada","2016A000011124","Persons","249","units","0","v1","1","14376000","","","","0"
"1952-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","371000","","","","0"
"1952-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1952-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","651000","","","","0"
"1952-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","524000","","","","0"
"1952-04","Quebec","2016A000224","Persons","249","units","0","v11","6","4153000","","","","0"
"1952-04","Ontario","2016A000235","Persons","249","units","0","v12","7","4757000","","","","0"
"1952-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","794000","","","","0"
"1952-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","838000","","","","0"
"1952-04","Alberta","2016A000248","Persons","249","units","0","v15","10","965000","","","","0"
"1952-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","1198000","","","","0"
"1952-04","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1952-04","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1952-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14496000","","","","0"
"1952-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","375000","","","","0"
"1952-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","100000","","","","0"
"1952-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","654000","","","","0"
"1952-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","527000","","","","0"
"1952-07","Quebec","2016A000224","Persons","249","units","0","v11","6","4183000","","","","0"
"1952-07","Ontario","2016A000235","Persons","249","units","0","v12","7","4802000","","","","0"
"1952-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","799000","","","","0"
"1952-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","845000","","","","0"
"1952-07","Alberta","2016A000248","Persons","249","units","0","v15","10","977000","","","","0"
"1952-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","1209000","","","","0"
"1952-07","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1952-07","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1952-10","Canada","2016A000011124","Persons","249","units","0","v1","1","14598000","","","","0"
"1952-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","377000","","","","0"
"1952-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1952-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","657000","","","","0"
"1952-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","529000","","","","0"
"1952-10","Quebec","2016A000224","Persons","249","units","0","v11","6","4209000","","","","0"
"1952-10","Ontario","2016A000235","Persons","249","units","0","v12","7","4841000","","","","0"
"1952-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","802000","","","","0"
"1952-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","850000","","","","0"
"1952-10","Alberta","2016A000248","Persons","249","units","0","v15","10","985000","","","","0"
"1952-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","1222000","","","","0"
"1952-10","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1952-10","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1953-01","Canada","2016A000011124","Persons","249","units","0","v1","1","14682000","","","","0"
"1953-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","379000","","","","0"
"1953-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1953-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","660000","","","","0"
"1953-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","530000","","","","0"
"1953-01","Quebec","2016A000224","Persons","249","units","0","v11","6","4228000","","","","0"
"1953-01","Ontario","2016A000235","Persons","249","units","0","v12","7","4876000","","","","0"
"1953-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","804000","","","","0"
"1953-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","852000","","","","0"
"1953-01","Alberta","2016A000248","Persons","249","units","0","v15","10","994000","","","","0"
"1953-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","1233000","","","","0"
"1953-01","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1953-01","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1953-04","Canada","2016A000011124","Persons","249","units","0","v1","1","14763000","","","","0"
"1953-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","382000","","","","0"
"1953-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
"1953-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","662000","","","","0"
"1953-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","532000","","","","0"
"1953-04","Quebec","2016A000224","Persons","249","units","0","v11","6","4249000","","","","0"
"1953-04","Ontario","2016A000235","Persons","249","units","0","v12","7","4907000","","","","0"
"1953-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","806000","","","","0"
"1953-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","855000","","","","0"
"1953-04","Alberta","2016A000248","Persons","249","units","0","v15","10","1002000","","","","0"
"1953-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","1242000","","","","0"
"1953-04","Yukon","2016A000260","Persons","249","units","0","v4","12","9000","","","","0"
"1953-04","Northwest Territories including Nunavut","","Persons","249","units","0","v5","13","16000","","","t","0"
"1953-07","Canada","2016A000011124","Persons","249","units","0","v1","1","14886000","","","","0"
"1953-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","384000","","","","0"
"1953-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","101000","","","","0"
